date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:17	31518/31518	U--MC-	200	updated ('OK')	text/html	date:Mon,%2024%20Aug%202015%2000:10:57%20GMT	http://library.queensu.ca/virtual-exhibits/stereoscopic/	C:/My%20Web%20Sites/Stereo%20Cards/library.queensu.ca/virtual-exhibits/stereoscopic/index.html	(from )
20:11:18	33297/33297	U--MC-	200	updated ('OK')	text/html	date:Mon,%2024%20Aug%202015%2000:10:57%20GMT	http://library.queensu.ca/virtual-exhibits/stereoscopic/about/	C:/My%20Web%20Sites/Stereo%20Cards/library.queensu.ca/virtual-exhibits/stereoscopic/about/index.html	(from )
20:11:18	35687/35687	U--MC-	200	updated ('OK')	text/html	date:Mon,%2024%20Aug%202015%2000:10:57%20GMT	http://library.queensu.ca/virtual-exhibits/stereoscopic/about-stereocards/	C:/My%20Web%20Sites/Stereo%20Cards/library.queensu.ca/virtual-exhibits/stereoscopic/about-stereocards/index.html	(from )
20:11:18	50878/50878	U--MC-	200	updated ('OK')	text/html	date:Mon,%2024%20Aug%202015%2000:10:57%20GMT	http://library.queensu.ca/virtual-exhibits/stereoscopic/annotated-bibliography/	C:/My%20Web%20Sites/Stereo%20Cards/library.queensu.ca/virtual-exhibits/stereoscopic/annotated-bibliography/index.html	(from )
20:11:18	1726/1726	U-----	200	untouched ('OK')	text/plain	etag:%2265ec1-6be-50667d3336312%22	http://library.queensu.ca/robots.txt		(from )
20:11:24	35936/35936	U--MC-	200	updated ('OK')	text/html	date:Mon,%2024%20Aug%202015%2000:11:15%20GMT	http://library.queensu.ca/virtual-exhibits/stereoscopic/guestbook/	C:/My%20Web%20Sites/Stereo%20Cards/library.queensu.ca/virtual-exhibits/stereoscopic/guestbook/index.html	(from )
20:11:26	44624/44624	U--MC-	200	updated ('OK')	text/html	date:Mon,%2024%20Aug%202015%2000:11:16%20GMT	http://library.queensu.ca/virtual-exhibits/stereoscopic/fine-day-sir-and-welcome-1902/	C:/My%20Web%20Sites/Stereo%20Cards/library.queensu.ca/virtual-exhibits/stereoscopic/fine-day-sir-and-welcome-1902/index.html	(from )
20:11:26	42653/42653	U--MC-	200	updated ('OK')	text/html	date:Mon,%2024%20Aug%202015%2000:11:16%20GMT	http://library.queensu.ca/virtual-exhibits/stereoscopic/full-moon/	C:/My%20Web%20Sites/Stereo%20Cards/library.queensu.ca/virtual-exhibits/stereoscopic/full-moon/index.html	(from )
20:11:26	41043/41043	U--MC-	200	updated ('OK')	text/html	date:Mon,%2024%20Aug%202015%2000:11:16%20GMT	http://library.queensu.ca/virtual-exhibits/stereoscopic/along-the-noted-bowery-new-york-u-s-a-1896/	C:/My%20Web%20Sites/Stereo%20Cards/library.queensu.ca/virtual-exhibits/stereoscopic/along-the-noted-bowery-new-york-u-s-a-1896/index.html	(from )
20:11:28	42770/42770	U--MC-	200	updated ('OK')	text/html	date:Mon,%2024%20Aug%202015%2000:11:22%20GMT	http://library.queensu.ca/virtual-exhibits/stereoscopic/the-johnstown-calamity-1889/	C:/My%20Web%20Sites/Stereo%20Cards/library.queensu.ca/virtual-exhibits/stereoscopic/the-johnstown-calamity-1889/index.html	(from )
20:11:33	30280/30280	U--MC-	200	updated ('OK')	text/html	date:Mon,%2024%20Aug%202015%2000:11:24%20GMT	http://library.queensu.ca/virtual-exhibits/stereoscopic/acknowledgments/	C:/My%20Web%20Sites/Stereo%20Cards/library.queensu.ca/virtual-exhibits/stereoscopic/acknowledgments/index.html	(from )
20:11:33	32080/32080	U-----	200	untouched ('OK')	text/css	date:Tue,%2007%20May%202013%2009:09:49%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/jquery-ui.css?ver=4.1.1	C:/My%20Web%20Sites/Stereo%20Cards/ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/jquery-ui0235.css	(from http://library.queensu.ca/virtual-exhibits/stereoscopic/)
20:11:33	38166/38166	U--MC-	200	updated ('OK')	text/html	date:Mon,%2024%20Aug%202015%2000:11:24%20GMT	http://library.queensu.ca/virtual-exhibits/stereoscopic/victims-of-the-khodinsky-plain-panic-1897/	C:/My%20Web%20Sites/Stereo%20Cards/library.queensu.ca/virtual-exhibits/stereoscopic/victims-of-the-khodinsky-plain-panic-1897/index.html	(from )
20:11:33	43579/43579	U--MC-	200	updated ('OK')	text/html	date:Mon,%2024%20Aug%202015%2000:11:24%20GMT	http://library.queensu.ca/virtual-exhibits/stereoscopic/at-the-belgian-front-1916/	C:/My%20Web%20Sites/Stereo%20Cards/library.queensu.ca/virtual-exhibits/stereoscopic/at-the-belgian-front-1916/index.html	(from )
20:11:33	38226/38226	U--MC-	200	updated ('OK')	text/html	date:Mon,%2024%20Aug%202015%2000:11:26%20GMT	http://library.queensu.ca/virtual-exhibits/stereoscopic/gallery/	C:/My%20Web%20Sites/Stereo%20Cards/library.queensu.ca/virtual-exhibits/stereoscopic/gallery/index.html	(from )
20:11:34	1435/1435	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Aug%202015%2000:11:32%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Stereo%20Cards/www.googletagmanager.com/gtm.45445.delayed	(from http://library.queensu.ca/virtual-exhibits/stereoscopic/)
20:11:34	22084/22084	U-----	200	untouched ('OK')	text/css	date:Mon,%2013%20Jan%202014%2018:17:37%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/3.2.1/css/font-awesome.min.css	C:/My%20Web%20Sites/Stereo%20Cards/cdnjs.cloudflare.com/ajax/libs/font-awesome/3.2.1/css/font-awesome.min.css	(from http://library.queensu.ca/virtual-exhibits/stereoscopic/)
20:11:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Aug%202015%2000:11:32%20GMT	https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png	C:/My%20Web%20Sites/Stereo%20Cards/i.creativecommons.org/l/by-nc-sa/4.0/88x31.5.delayed	(from http://library.queensu.ca/virtual-exhibits/stereoscopic/)
20:11:39	35601/35601	U-----	200	untouched ('')	text/javascript	etag:W/%222616d3564578d8f845813483352802a9%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.1/js/bootstrap.min.js?ver=4.1.1	C:/My%20Web%20Sites/Stereo%20Cards/maxcdn.bootstrapcdn.com/bootstrap/3.3.1/js/bootstrap.min0235.js	(from http://library.queensu.ca/virtual-exhibits/stereoscopic/)
20:11:39	1738/1738	U-----	200	untouched ('')	image/gif	date:Tue,%2007%20May%202013%2009:09:49%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/images/animated-overlay.gif	C:/My%20Web%20Sites/Stereo%20Cards/ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/images/animated-overlay.gif	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/jquery-ui.css?ver=4.1.1)
20:11:39	208/208	U-----	200	untouched ('')	image/png	date:Tue,%2007%20May%202013%2009:09:49%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/images/ui-bg_flat_75_ffffff_40x100.png	C:/My%20Web%20Sites/Stereo%20Cards/ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/images/ui-bg_flat_75_ffffff_40x100.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/jquery-ui.css?ver=4.1.1)
20:11:40	280/280	U-----	200	untouched ('')	image/png	date:Tue,%2007%20May%202013%2009:09:49%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/images/ui-bg_highlight-soft_50_dddddd_1x100.png	C:/My%20Web%20Sites/Stereo%20Cards/ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/images/ui-bg_highlight-soft_50_dddddd_1x100.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/jquery-ui.css?ver=4.1.1)
20:11:40	277/277	U-----	200	untouched ('')	image/png	date:Tue,%2007%20May%202013%2009:09:49%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/images/ui-bg_highlight-soft_100_f6f6f6_1x100.png	C:/My%20Web%20Sites/Stereo%20Cards/ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/images/ui-bg_highlight-soft_100_f6f6f6_1x100.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/jquery-ui.css?ver=4.1.1)
20:11:40	338/338	U-----	200	untouched ('')	image/png	date:Tue,%2007%20May%202013%2009:09:49%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/images/ui-bg_highlight-soft_25_0073ea_1x100.png	C:/My%20Web%20Sites/Stereo%20Cards/ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/images/ui-bg_highlight-soft_25_0073ea_1x100.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/jquery-ui.css?ver=4.1.1)
20:11:40	207/207	U-----	200	untouched ('')	image/png	date:Tue,%2007%20May%202013%2009:09:49%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/images/ui-bg_glass_65_ffffff_1x400.png	C:/My%20Web%20Sites/Stereo%20Cards/ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/images/ui-bg_glass_65_ffffff_1x400.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/jquery-ui.css?ver=4.1.1)
20:11:41	208/208	U-----	200	untouched ('')	image/png	date:Tue,%2007%20May%202013%2009:09:49%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/images/ui-bg_flat_55_ffffff_40x100.png	C:/My%20Web%20Sites/Stereo%20Cards/ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/images/ui-bg_flat_55_ffffff_40x100.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.3/themes/flick/jquery-ui.css?ver=4.1.1)
